sample_index,path,true_label,true_index,pred_label,pred_index,fall_probability_max,fall_probability_mean,fall_probability_final,best_window_start,best_window_end,num_windows,num_frames,num_pose_frames,pose_detection_rate,cache_hit
88,F:\GP_Dataset\activities6-11\Subject02\Activity06\Trial1\Subject2Activity6Trial1Camera2,non_fall,0,fall,1,1.0,0.2837226546476728,0.0383359715342521,702,773,55,1033,1026,0.9932236205227492,False
46,F:\GP_Dataset\activities2\Subject10\Activity06\Trial1\Subject10Activity6Trial1Camera2,non_fall,0,fall,1,1.0,0.1512817513494079,1.009637981042033e-05,36,107,60,1127,1123,0.9964507542147294,False
10,F:\GP_Dataset\activities2\Subject07\Activity06\Trial1\Subject7Activity6Trial1Camera2,non_fall,0,fall,1,1.0,0.2173482025096319,0.2692709565162658,612,683,60,1121,1112,0.991971454058876,False
68,F:\GP_Dataset\activities2\Subject11\Activity11\Trial1\Subject11Activity11Trial1Camera2,non_fall,0,fall,1,1.0,0.2820725861282137,0.009413719177246,0,71,58,1084,1084,1.0,False
9,F:\GP_Dataset\activities2\Subject07\Activity06\Trial1\Subject7Activity6Trial1Camera1,non_fall,0,fall,1,0.9999998807907104,0.1075321670780065,1.9083665847574598e-06,612,683,59,1121,863,0.7698483496877788,False
31,F:\GP_Dataset\activities2\Subject08\Activity11\Trial1\Subject8Activity11Trial1Camera1,non_fall,0,fall,1,0.9999980926513672,0.2571757892432588,0.0001636632368899,36,107,57,1079,1078,0.9990732159406858,False
79,F:\GP_Dataset\activities6-11\Subject01\Activity08\Trial1\Subject1Activity8Trial1Camera1,non_fall,0,fall,1,0.99999737739563,0.1269621694154067,3.880782983856079e-08,36,107,57,1079,1079,1.0,False
103,F:\GP_Dataset\activities6-11\Subject03\Activity08\Trial1\Subject3Activity8Trial1Camera1,non_fall,0,fall,1,0.9999948740005492,0.0490041670178184,0.0454944372177124,972,1043,58,1088,1087,0.9990808823529412,False
124,F:\GP_Dataset\activities6-11\Subject05\Activity06\Trial1\Subject5Activity6Trial1Camera2,non_fall,0,fall,1,0.999994158744812,0.2553657934540638,0.8600139617919922,846,917,58,1096,1096,1.0,False
97,F:\GP_Dataset\activities6-11\Subject02\Activity11\Trial1\Subject2Activity11Trial1Camera1,non_fall,0,fall,1,0.9999808073043824,0.2130716304872021,6.046947191862273e-07,594,665,52,982,976,0.9938900203665988,False
25,F:\GP_Dataset\activities2\Subject08\Activity08\Trial1\Subject8Activity8Trial1Camera1,non_fall,0,fall,1,0.9999775886535645,0.2061639524534649,4.715673276223242e-05,252,323,57,1066,1065,0.99906191369606,False
52,F:\GP_Dataset\activities2\Subject10\Activity09\Trial1\Subject10Activity9Trial1Camera2,non_fall,0,fall,1,0.9999017715454102,0.1729568471507995,1.3418739897019805e-08,54,125,6,162,162,1.0,False
102,F:\GP_Dataset\activities6-11\Subject03\Activity07\Trial1\Subject3Activity7Trial1Camera2,non_fall,0,fall,1,0.999861478805542,0.0898874136802609,3.735347490874119e-05,432,503,59,1100,1100,1.0,False
50,F:\GP_Dataset\activities2\Subject10\Activity08\Trial1\Subject10Activity8Trial1Camera2,non_fall,0,fall,1,0.999858260154724,0.0737206484754952,1.3754826795775443e-05,918,989,54,1023,1023,1.0,False
98,F:\GP_Dataset\activities6-11\Subject02\Activity11\Trial1\Subject2Activity11Trial1Camera2,non_fall,0,fall,1,0.9997556805610656,0.0851205747580293,3.586811772038345e-06,558,629,52,982,975,0.9928716904276986,False
24,F:\GP_Dataset\activities2\Subject08\Activity07\Trial1\Subject8Activity7Trial1Camera2,non_fall,0,fall,1,0.999675750732422,0.0953824542970032,0.9994195699691772,918,989,57,1073,1072,0.9990680335507922,False
136,F:\GP_Dataset\activities6-11\Subject06\Activity06\Trial1\Subject6Activity6Trial1Camera2,non_fall,0,fall,1,0.9993733763694764,0.2058503233545567,0.9956493973731996,486,557,47,899,898,0.9988876529477196,False
37,F:\GP_Dataset\activities2\Subject09\Activity08\Trial1\Subject9Activity8Trial1Camera1,non_fall,0,fall,1,0.9993162155151368,0.0258737589324621,7.148651787712569e-13,0,71,57,1069,1068,0.999064546304958,False
22,F:\GP_Dataset\activities2\Subject08\Activity06\Trial1\Subject8Activity6Trial1Camera2,non_fall,0,fall,1,0.9990501999855042,0.2272654863969967,0.0083670346066355,414,485,56,1046,1030,0.9847036328871892,False
87,F:\GP_Dataset\activities6-11\Subject02\Activity06\Trial1\Subject2Activity6Trial1Camera1,non_fall,0,fall,1,0.9982064962387084,0.0584018707910256,5.511883500730619e-06,630,701,55,1033,769,0.744433688286544,False
112,F:\GP_Dataset\activities6-11\Subject04\Activity06\Trial1\Subject4Activity6Trial1Camera2,non_fall,0,fall,1,0.9975786805152892,0.2379276543804404,0.2240082174539566,900,971,58,1089,1088,0.9990817263544536,False
35,F:\GP_Dataset\activities2\Subject09\Activity07\Trial1\Subject9Activity7Trial1Camera1,non_fall,0,fall,1,0.9974485039711,0.0371849563323244,7.911843567853794e-06,414,485,58,1093,1092,0.9990850869167428,False
57,F:\GP_Dataset\activities2\Subject11\Activity06\Trial1\Subject11Activity6Trial1Camera1,non_fall,0,fall,1,0.9973342418670654,0.0658312662518769,5.231900104263332e-07,234,305,61,1138,873,0.7671353251318102,False
